label,global,basal,her2,lumA,lumB,norm
path:hsa04660,0.0013069576,0.0007119922,0.0007586888,0.0013797426,0.0008308484,0.0032548625
path:hsa05130,0.0013065544,0.00071452896,0.0007640609,0.0013837981,0.0008383558,0.003207971
path:hsa04137,0.0013064494,0.0006921993,0.00075307186,0.0013699394,0.0008481055,0.0033057996
path:hsa05211,0.0013063746,0.0006933407,0.00075583626,0.0013764391,0.0008385575,0.0032858336
path:hsa05132,0.0013033152,0.0006776575,0.0007222519,0.0013488266,0.00082155305,0.003476799
path:hsa00020,0.0013032955,0.0007170169,0.00079266407,0.0013577631,0.00084817084,0.0032624889
path:hsa04071,0.0013031954,0.00069270766,0.0007513454,0.0013755026,0.00083127606,0.0032753986
path:hsa04380,0.0012992712,0.0006951091,0.0007413968,0.0013741588,0.0008172059,0.0032705676
path:hsa04612,0.0012957514,0.0007070083,0.00076138333,0.0013685938,0.00084493664,0.0031756505
path:hsa01523,0.0012950329,0.0006796827,0.00070769247,0.0013884223,0.0008154693,0.003209101
path:hsa04916,0.0012942362,0.00070897356,0.0007333867,0.001353189,0.00082584255,0.0032899892
path:hsa00250,0.0012925491,0.00081756816,0.0011196432,0.0011514529,0.0012410469,0.0030543152
path:hsa04666,0.0012913209,0.00070204,0.000745011,0.0013636685,0.00082010264,0.0032210564
path:hsa00120,0.0012908397,0.00064549095,0.0007002625,0.0013809851,0.0008057455,0.0032861766
path:hsa04150,0.0012887937,0.00071139535,0.0007160332,0.001352255,0.0008273628,0.0032437944
path:hsa05133,0.0012881776,0.0006590972,0.00072106207,0.0013637528,0.00081511383,0.0032895005
path:hsa04960,0.0012879651,0.0007831159,0.00062650506,0.0013450631,0.00080286176,0.0032568017
path:hsa04141,0.0012879146,0.00065861206,0.0007456167,0.0013733915,0.0008467351,0.003162608
path:hsa04659,0.0012813357,0.000671457,0.0007176999,0.0013567513,0.0008001425,0.0032625063
path:hsa00515,0.0012811268,0.0006637699,0.0006961805,0.0013746481,0.00080688234,0.0031864538
path:hsa05017,0.0012742173,0.000652657,0.00071042374,0.0013483393,0.000819105,0.0032341604
path:hsa05235,0.0012740585,0.0006852735,0.00073082873,0.0013333486,0.00080886163,0.0032555384
path:hsa04210,0.0012739777,0.0006625147,0.0007155692,0.0013536804,0.00081092253,0.0031989024
path:hsa04650,0.0012733666,0.00069370604,0.0007295775,0.0013398877,0.0007949601,0.0032272304
path:hsa05321,0.001272774,0.0006608375,0.0007187226,0.0013633205,0.00077271386,0.0032089986
path:hsa00900,0.0012720353,0.00069699803,0.0007697838,0.0013417545,0.0008432057,0.0030798493
path:hsa04510,0.0012712004,0.00067272247,0.0006966165,0.0013350068,0.00079588837,0.003288222
path:hsa04370,0.0012691524,0.00067151856,0.0007248827,0.00133542,0.000801814,0.0032355168
path:hsa04062,0.001268753,0.000675043,0.00072174746,0.0013357487,0.0007937465,0.0032407546
path:hsa04672,0.0012684854,0.0007881674,0.00071536447,0.0013341934,0.0007403001,0.00315212
path:hsa05418,0.0012682,0.0006623132,0.0007041255,0.0013346673,0.0007977242,0.0032681208
path:hsa00770,0.0012676545,0.00059784093,0.0007167964,0.0013557462,0.00082576624,0.00320728
path:hsa03250,0.001267109,0.00066491286,0.0007403525,0.0013568158,0.00082891196,0.0030563783
path:hsa03018,0.0012663323,0.000650066,0.0006052186,0.0013051361,0.000914709,0.0032747074
path:hsa04061,0.0012652928,0.00068458635,0.0007424513,0.0013252394,0.0007746612,0.0032616004
path:hsa00260,0.001265066,0.00067058107,0.00073866616,0.0013405826,0.0008131015,0.0031377994
path:hsa04211,0.0012643624,0.0006120141,0.0006690819,0.0013356884,0.00082725147,0.0032816518
path:hsa05203,0.0012622738,0.0005901278,0.0007028921,0.0013593122,0.0008223554,0.0031632998
path:hsa05168,0.0012603434,0.0006233747,0.0006765483,0.0013494769,0.0008564682,0.0030910468
path:hsa04662,0.0012599526,0.0006794336,0.0007291657,0.0013341133,0.0007796525,0.0031707855
path:hsa05131,0.001259823,0.00066805346,0.00070204673,0.0013260816,0.0008068927,0.0031991624
path:hsa04931,0.0012548307,0.00064862764,0.00067036046,0.0013237697,0.0007886804,0.003249599
path:hsa05145,0.0012526097,0.00064846023,0.0007108071,0.0013299434,0.00076413306,0.0032117215
path:hsa00785,0.0012510302,0.0006639469,0.000704972,0.0012942331,0.00081759924,0.0032541258
path:hsa05171,0.0012503822,0.0006495853,0.00069832645,0.0013198555,0.0007774652,0.003222021
path:hsa05142,0.0012502728,0.0006459058,0.0007088084,0.0013196403,0.00077638665,0.0032227787
path:hsa04917,0.0012500086,0.00064832927,0.00066712213,0.0013159969,0.00078411074,0.003250188
path:hsa05152,0.0012490598,0.00065331865,0.00072721235,0.0013182049,0.00078011426,0.003184269
path:hsa05120,0.0012481356,0.00067389815,0.0007054563,0.001307895,0.00075567915,0.0032518995
path:hsa05012,0.0012477656,0.0007694934,0.0005894103,0.0013096477,0.0008111789,0.0030541127
path:hsa04340,0.0012425181,0.00058863306,0.000633958,0.0013301701,0.0007648298,0.0032646742
path:hsa04060,0.0012423617,0.000681735,0.0007140028,0.0012986058,0.0007407827,0.003246649
path:hsa04658,0.0012372162,0.0006431809,0.0007114011,0.0013056041,0.0007349426,0.0032378214
path:hsa01524,0.0012368484,0.00061044784,0.00065683917,0.0013230466,0.00078413705,0.0031515365
path:hsa04310,0.001236718,0.0006513499,0.00066397776,0.0013015498,0.00075745635,0.00323165
path:hsa04975,0.0012365322,0.00064414326,0.0007158256,0.0012872122,0.00075653126,0.0032788224
path:hsa04928,0.0012353592,0.0006351073,0.00064463454,0.0012985711,0.0007682181,0.0032550637
path:hsa04962,0.0012337088,0.0005714201,0.00060062547,0.0013445842,0.00073648157,0.0032071082
path:hsa04350,0.001233144,0.00061475014,0.00066924293,0.0013007385,0.0007499558,0.0032725548
path:hsa00051,0.0012304052,0.0006031041,0.0007019185,0.0013130669,0.0008771883,0.0029431137
path:hsa05014,0.0012298904,0.0006509112,0.00084636715,0.0012455739,0.00081471127,0.0032062088
path:hsa04623,0.0012286005,0.0006342354,0.00069508917,0.0013079131,0.00074303173,0.0031492566
path:hsa05207,0.0012272347,0.0006047312,0.00062086334,0.0013008282,0.0007543291,0.003255299
path:hsa00564,0.0012232233,0.00056240376,0.00058565877,0.0012834168,0.0008665925,0.00319338
path:hsa03015,0.0012206872,0.00064330915,0.0006667102,0.0012837759,0.00079292816,0.0031016534
path:hsa04151,0.0012140723,0.0005860135,0.00063214917,0.001283136,0.0007456016,0.0032487747
path:hsa00760,0.0012122558,0.00054941553,0.00086850283,0.0012579083,0.00074674515,0.0032475817
path:hsa04920,0.0012082157,0.0006058382,0.0006338351,0.0012643859,0.0007511428,0.0032367362
path:hsa04630,0.0012081517,0.0006172939,0.0006387597,0.0012625381,0.00074961747,0.003224685
path:hsa04072,0.0012077036,0.0006306918,0.00064525416,0.0012621409,0.00072733226,0.0032351892
path:hsa04971,0.0012075768,0.0006309715,0.00066465756,0.0012526505,0.00074211025,0.003239924
path:hsa04080,0.0012048015,0.0005450837,0.00059843616,0.0012946788,0.00071813416,0.0032409064
path:hsa05010,0.0012016672,0.00059489737,0.000632722,0.0012774795,0.0007485964,0.0031272408
path:hsa05162,0.0011957911,0.0006046572,0.00066985487,0.001263536,0.0007296227,0.0031278713
path:hsa05163,0.0011900399,0.00058896403,0.00064924324,0.0012507351,0.00071602705,0.003200396
path:hsa00052,0.0011891552,0.0006746018,0.00067169947,0.0012148755,0.0007873779,0.0030748479
path:hsa04144,0.0011867088,0.00053558435,0.0006204921,0.0012626471,0.00075791986,0.0031420796
path:hsa05134,0.0011853058,0.00063056865,0.00064527785,0.0012415934,0.0007141411,0.0031313158
path:hsa00970,0.0011831789,0.00054871076,0.0006016007,0.0012780403,0.0007697648,0.002996615
path:hsa00650,0.0011820592,0.0005410688,0.0005809239,0.001238886,0.00075856794,0.0032318907
path:hsa04979,0.0011774398,0.0005714381,0.00062556664,0.001241839,0.0007039087,0.003184803
path:hsa00450,0.0011766003,0.00055143563,0.00057318294,0.001268972,0.00076153723,0.003005294
path:hsa00730,0.0011741164,0.00045625027,0.00061774114,0.0012833158,0.00069784257,0.0031584606
path:hsa04932,0.0011717555,0.00056789693,0.00061732874,0.0012260262,0.00070421083,0.003217341
path:hsa05016,0.001153986,0.0005364806,0.0006113304,0.0012321909,0.0007162355,0.0030387766
path:hsa00410,0.0011400337,0.0004627249,0.00055876054,0.0012024452,0.00071077334,0.0032211985
path:hsa04540,0.0011390307,0.00058300496,0.00037936977,0.0010161647,0.0012796248,0.0030204598
path:hsa05231,0.0011376081,0.0005303099,0.00059433584,0.0011862272,0.0006773528,0.0031961864
path:hsa04722,0.0011368212,0.0005322906,0.0005689624,0.0012060025,0.00065544056,0.0031435695
path:hsa04727,0.0011364933,0.0005654466,0.00043075177,0.0011693566,0.00077023247,0.0031555162
path:hsa00531,0.0011338618,0.00051900337,0.0005525008,0.0012029562,0.0006923629,0.0030950897
path:hsa04964,0.0011337531,0.00045494293,0.0005543108,0.0011796306,0.0008875633,0.002961184
path:hsa04926,0.0011329799,0.00047329583,0.00048359387,0.0012611392,0.000582205,0.003125378
path:hsa00513,0.0011290854,0.00047251748,0.0005732211,0.0012443626,0.0006815743,0.002922293
path:hsa04726,0.0011271379,0.00047285543,0.00040028995,0.0011335767,0.0009767726,0.0030408008
path:hsa00780,0.0011268804,0.00037054165,0.00049144117,0.0012567922,0.00065228576,0.003127907
path:hsa04934,0.0011263768,0.00053058093,0.0005505129,0.0011875769,0.00064029795,0.0031727217
path:hsa00630,0.0011213906,0.00053292786,0.00053952064,0.001156078,0.0007033834,0.003167396
path:hsa04912,0.0011191558,0.0005378099,0.0005913243,0.0011595301,0.0006628839,0.003155581
path:hsa04723,0.0011123202,0.00049369084,0.0005507324,0.0011585723,0.00072394003,0.0030829532
path:hsa00130,0.0011067219,0.00042235004,0.00064285536,0.0011799205,0.00074487505,0.0029358207
path:hsa05417,0.0011024912,0.0005512826,0.0006028566,0.001146724,0.0006261893,0.003083452
path:hsa00071,0.0011012271,0.00049883156,0.00053462276,0.0011191907,0.00067236257,0.0032650088
path:hsa05144,0.0010968744,0.0010880119,0.0005011056,0.0010020818,0.0005715046,0.0029953527
path:hsa05218,0.0010927378,0.00041640902,0.00048496423,0.0011764704,0.0005947267,0.0032108626
path:hsa05310,0.0010872225,0.00088146055,0.0006075751,0.0010448007,0.00053356274,0.0030323928
path:hsa00480,0.0010841339,0.00046394838,0.0005158377,0.0011469063,0.0006032919,0.0031498808
path:hsa04014,0.0010831106,0.0004958051,0.0005284508,0.0011273284,0.00058942393,0.0031991634
path:hsa05200,0.0010706617,0.00046561164,0.00051047234,0.0011333334,0.0005740939,0.0031337335
path:hsa00061,0.0010628784,0.00044954833,0.0005850994,0.0010973425,0.00063612685,0.0030939865
path:hsa00500,0.0010611728,0.0005242519,0.00055602804,0.0010510467,0.00061959674,0.0032316751
path:hsa04020,0.0010495972,0.0003586577,0.00035903451,0.0011070572,0.00055853464,0.0033731842
path:hsa05415,0.001037486,0.0004800198,0.00049807207,0.0010753701,0.0005745831,0.0030655146
path:hsa05202,0.0010240003,0.00040694288,0.0005408506,0.0010935261,0.00058898143,0.0029036247
path:hsa04720,0.0010198483,0.00044172513,0.0004985233,0.0010694136,0.0005584918,0.0030088797
path:hsa00640,0.0010195485,0.00038827455,0.00047549338,0.001042746,0.0006089051,0.0031571737
path:hsa00340,0.0010191201,0.0003633579,0.00046768898,0.001072654,0.0005707147,0.0031213467
path:hsa04740,0.0010171552,0.0004599858,0.00049912237,0.0010202018,0.00054704025,0.0032185349
path:hsa05032,0.0010169027,0.0004412941,0.0004707646,0.001059662,0.0005162366,0.0031266506
path:hsa04213,0.0010088445,0.00042607647,0.00040540053,0.0010585178,0.0005414799,0.0030761333
path:hsa04550,0.0010031514,0.00041048447,0.0003651246,0.0011174052,0.00041363743,0.003012385
path:hsa05224,0.0009948655,0.0004110245,0.00039723888,0.0010638785,0.00046693615,0.003074087
path:hsa04152,0.0009855166,0.0004129572,0.0004258656,0.0010174043,0.00052307337,0.0030839997
path:hsa04913,0.000983592,0.0003717255,0.00039031662,0.0010309747,0.0005049045,0.0031267512
path:hsa04613,0.0009823658,0.0005288481,0.00051365467,0.0009758061,0.0006019446,0.0028498904
path:hsa04148,0.00096770335,0.0004173864,0.0004825991,0.0009895124,0.0005253924,0.0029870025
path:hsa00670,0.0009676946,0.0004202004,0.00043120436,0.0010209962,0.0005361121,0.00284037
path:hsa04910,0.00096368016,0.00040741148,0.00044358277,0.0009984367,0.00048087328,0.0030282172
path:hsa04330,0.00093925424,0.00038275236,0.00042815742,0.000997639,0.0004563769,0.0028784077
path:hsa04930,0.0009259987,0.00033943396,0.00037846173,0.000992301,0.00045488664,0.0028822292
path:hsa00280,0.0009186693,0.00033100072,0.0003811046,0.0009287113,0.00055092573,0.0029627024
path:hsa04976,0.0009169889,0.0003215052,0.0003818847,0.0009380243,0.0004905207,0.0030259269
path:hsa04750,0.0009155135,0.00038712527,0.00044360835,0.0009257882,0.00046319223,0.0029638056
path:hsa04010,0.00091273815,0.00036384977,0.0004015697,0.00096287223,0.0004545931,0.0028346174
path:hsa05146,0.0009020982,0.0003811391,0.00044714424,0.0009170263,0.00043154787,0.0029353397
path:hsa00062,0.00090074824,0.00037617068,0.00039972787,0.00093395583,0.00053433096,0.002688761
path:hsa00140,0.0008956914,0.0003047094,0.0020105115,0.00077424035,0.0003521167,0.0027360765
path:hsa04392,0.0008944327,0.00039608422,0.00040359376,0.00094024563,0.00042314848,0.0027595994
path:hsa05204,0.00089436065,0.00032043352,0.0003982392,0.0008955123,0.00047136514,0.0030314722
path:hsa04015,0.0008886869,0.00037233572,0.00037964594,0.00090331445,0.0004172569,0.0029562854
path:hsa04371,0.00088222645,0.0003634853,0.00037308215,0.0008900057,0.00039489122,0.0030181007
path:hsa04724,0.0008773341,0.00035819743,0.00036419427,0.0009093936,0.00039446034,0.002885846
path:hsa04923,0.0008600376,0.00030627527,0.00032578388,0.00085237704,0.00040432904,0.0030947002
path:hsa00512,0.00083269883,0.0003406046,0.00038814722,0.00084136997,0.00040244136,0.002765156
path:hsa04922,0.0007697643,0.00032975062,0.00034235453,0.0007173667,0.00034630863,0.0028949992
path:hsa00360,0.0007519625,0.0003219576,0.00036271755,0.0007104576,0.00034765436,0.0027416039
path:hsa00982,0.00074150105,0.00028967854,0.00030954494,0.0006611861,0.0003417472,0.0029878605
path:hsa05031,0.00073916133,0.00030937666,0.00032191823,0.00069026864,0.000343107,0.0027707894
path:hsa00980,0.0007332348,0.00028515252,0.0003068574,0.0007197153,0.00033460872,0.002629414
path:hsa00830,0.00073304586,0.00029880664,0.0003320062,0.0006672514,0.0003398917,0.002840729
path:hsa00561,0.00066169765,0.00030844132,0.00032870317,0.000632552,0.000344187,0.0022537247
